leadership_score,communication_score,decision_making_score,team_management_score,strategic_thinking_score,problem_solving_score,adaptability_score,technical_knowledge_score,performance_score,experience_years,readiness_level
70.89,61.97,70.01,70.78,71.36,61.21,64.8,69.95,70.34,3.5,Medium
69.12,61.39,64.66,64.34,67.52,62.26,64.74,62.83,82.13,7.6,Medium
72.84,77.24,71.63,78.58,79.03,72.75,70.6,71.8,73.26,7.9,Medium
57.42,62.12,64.91,61.08,55.65,64.57,64.64,57.84,65.03,1.7,Low
100.0,92.96,95.71,94.49,90.62,90.93,96.32,93.12,84.36,9.4,High
64.39,66.09,58.24,60.03,66.55,64.94,58.26,65.06,83.82,8.0,Medium
82.01,84.15,81.76,76.76,78.88,79.04,76.0,80.46,86.09,13.3,High
58.53,64.51,61.23,60.05,63.48,65.71,61.21,63.33,83.39,6.6,Medium
97.63,100.0,98.19,96.23,97.19,99.17,100.0,94.59,83.08,10.3,High
51.88,51.44,46.61,43.15,49.17,52.38,44.72,51.97,63.32,4.1,Low
78.58,74.76,72.79,69.79,71.66,69.77,80.47,75.45,81.8,3.4,Medium
65.6,70.69,71.71,65.3,62.81,65.74,71.99,70.24,80.81,4.1,Medium
87.54,82.68,86.06,85.17,77.4,83.68,86.32,82.99,76.44,6.0,Medium
91.01,94.17,90.12,86.4,96.34,90.13,97.87,89.19,86.9,11.0,High
45.49,44.03,47.31,37.59,43.17,45.25,36.29,36.68,60.94,2.8,Low
72.19,75.43,68.5,73.2,70.93,70.39,68.82,71.83,77.64,6.6,Medium
93.98,90.38,90.37,92.6,99.2,90.67,98.24,93.14,89.98,8.9,High
46.35,53.48,55.45,49.14,49.47,46.08,51.81,56.0,67.47,3.2,Low
81.58,76.93,77.89,77.14,84.96,75.79,82.12,79.9,78.84,7.8,High
80.85,77.48,75.16,78.08,78.73,69.74,80.52,76.56,69.47,4.9,Medium
70.91,65.42,74.83,68.43,74.16,63.9,64.72,65.07,82.93,7.7,Medium
97.51,96.92,89.78,94.39,93.38,88.27,90.4,93.17,87.54,14.4,High
99.6,98.21,100.0,97.71,100.0,91.29,91.49,98.65,84.47,11.6,High
78.08,79.63,75.58,83.59,77.9,81.76,80.33,75.68,75.08,6.8,Medium
89.19,85.66,90.53,90.72,92.24,93.62,83.48,86.36,89.75,7.0,High
83.56,85.88,87.01,89.78,85.38,92.78,84.31,86.33,86.28,7.5,High
93.72,91.44,88.01,99.08,93.8,99.34,90.32,91.97,89.97,10.1,High
80.97,84.7,79.7,85.12,83.26,83.7,78.92,79.34,79.12,5.8,Medium
93.13,87.31,95.83,92.12,85.38,95.66,88.68,93.5,83.18,10.0,High
58.88,53.42,54.52,56.87,58.56,58.36,60.15,59.06,49.98,3.5,Low
63.0,63.45,69.35,65.8,67.92,63.01,69.2,63.83,84.84,7.4,Medium
56.85,48.91,54.29,60.2,57.99,57.91,55.52,57.25,64.92,4.6,Low
87.1,93.49,85.7,96.7,86.64,85.55,89.09,87.14,91.92,13.4,High
81.1,73.02,73.93,74.76,76.18,80.22,78.58,76.04,83.65,8.2,Medium
51.21,50.28,50.88,49.88,44.87,45.52,49.26,45.26,53.86,4.9,Low
83.01,83.39,90.41,88.75,82.48,80.66,87.32,83.76,85.32,12.0,High
61.32,66.43,62.02,63.17,60.94,63.61,60.29,64.33,65.12,2.5,Low
61.79,66.92,65.26,66.54,59.51,63.84,67.49,60.09,78.47,6.5,Medium
95.13,94.45,89.64,86.3,95.47,87.76,91.66,94.8,96.87,9.1,High
78.2,69.34,77.83,69.35,78.27,79.2,72.0,73.18,80.29,8.6,High
63.97,58.44,68.95,60.57,69.02,63.67,63.08,68.41,66.92,1.0,Low
65.56,63.14,62.28,68.89,69.54,66.86,69.14,62.15,69.91,4.0,Medium
62.71,56.89,56.36,58.56,57.65,57.8,57.5,63.72,57.88,1.4,Low
95.33,87.76,88.43,90.69,91.88,93.04,97.75,95.45,82.18,11.5,High
93.12,92.09,92.33,99.46,97.76,95.48,97.08,96.14,86.72,11.1,High
71.06,61.57,65.95,69.03,61.52,67.36,61.33,67.16,72.21,7.5,Medium
60.54,61.61,66.14,60.24,65.27,68.85,64.59,65.31,73.58,6.1,Medium
87.07,92.12,91.27,89.26,82.87,86.46,83.09,94.25,94.91,12.2,High
100.0,100.0,100.0,98.56,95.85,100.0,95.4,100.0,82.51,9.1,High
78.18,74.51,72.48,76.78,76.68,79.07,73.01,70.38,79.25,6.2,Medium
96.0,89.09,90.28,89.43,97.37,94.82,87.48,95.84,90.71,10.3,High
57.3,56.5,63.27,64.53,56.68,64.98,60.92,58.91,45.39,2.0,Low
45.2,44.19,39.24,42.59,43.48,39.26,39.03,37.13,57.6,2.4,Low
89.97,90.35,86.92,84.54,85.36,91.08,90.71,87.47,82.98,14.5,High
90.55,87.18,91.69,85.1,89.98,91.16,92.47,88.24,84.39,8.8,High
66.58,69.88,68.98,59.93,67.51,61.1,62.04,66.9,72.13,4.2,Medium
45.41,44.46,49.14,42.7,50.19,38.89,49.95,50.25,64.04,4.6,Low
48.43,56.95,52.6,55.28,50.54,52.38,50.28,49.11,51.06,4.0,Low
68.15,69.04,62.52,63.04,64.82,60.73,59.82,61.2,84.68,5.8,Medium
69.33,74.77,70.76,72.62,72.99,67.86,74.63,76.37,70.59,5.0,Medium
68.18,65.39,70.54,66.04,67.23,60.24,59.94,69.69,81.51,4.0,Medium
74.83,80.54,72.16,78.12,76.53,79.47,80.05,79.45,75.01,8.1,Medium
62.49,59.44,67.87,56.34,65.9,64.23,65.81,67.06,77.38,3.1,Low
86.46,79.89,81.44,81.16,81.55,83.46,88.56,79.39,85.07,10.3,High
51.47,54.89,56.98,51.02,50.46,52.4,56.34,55.55,66.46,4.8,Low
74.53,76.55,84.43,84.67,79.72,74.58,74.91,85.12,69.62,6.2,Medium
68.23,63.74,65.72,65.24,61.47,57.61,58.64,59.58,83.79,4.9,Medium
76.51,86.69,83.52,80.84,86.52,75.47,80.07,84.89,73.64,7.5,Medium
58.23,61.15,69.78,63.76,62.14,69.17,63.05,66.03,54.92,4.9,Low
86.12,86.99,93.68,92.74,94.01,88.94,86.41,85.2,94.77,12.1,High
67.05,68.32,66.56,61.98,65.91,62.78,68.84,65.56,70.25,4.1,Medium
91.84,92.72,87.84,83.02,85.55,82.65,84.59,86.9,83.36,14.0,High
67.86,67.8,72.34,71.97,67.19,66.13,68.5,76.23,76.23,3.5,Medium
82.67,83.2,84.58,74.52,76.73,84.25,75.3,76.66,73.6,5.0,Medium
48.2,44.2,45.8,51.08,46.0,42.65,48.05,48.39,62.37,3.5,Low
76.05,72.81,71.05,75.87,77.38,77.1,72.46,73.54,84.2,5.8,Medium
86.74,97.74,91.61,90.67,91.94,96.9,94.16,92.38,93.44,12.9,High
75.83,84.03,82.7,79.07,82.57,75.34,86.61,82.94,77.13,6.8,Medium
61.25,64.27,64.37,65.11,65.05,63.49,62.84,67.41,55.76,1.1,Low
68.24,74.79,64.64,74.53,64.94,66.99,68.71,65.73,68.42,3.6,Medium
68.8,74.92,66.58,75.39,72.98,73.33,67.17,77.01,79.84,4.9,Medium
79.66,81.74,79.1,84.57,82.07,77.23,84.25,79.25,90.96,14.6,High
80.5,71.55,72.02,81.26,73.04,74.71,76.29,73.95,71.5,7.5,Medium
76.47,73.6,79.57,76.83,79.19,77.89,72.99,76.8,78.15,6.7,Medium
84.44,82.25,81.14,77.78,80.73,78.35,83.75,84.44,86.89,6.8,High
51.65,53.28,48.52,52.18,47.99,49.51,57.66,59.44,57.24,1.7,Low
76.24,71.37,70.75,79.51,73.88,73.68,76.83,72.4,75.07,8.0,Medium
73.45,81.39,81.96,76.49,81.96,72.58,80.71,78.64,77.35,3.7,Medium
100.0,94.34,93.12,98.74,94.21,100.0,98.25,91.78,94.02,8.0,High
65.36,65.03,65.84,65.85,64.08,67.57,66.74,69.83,80.08,6.8,Medium
73.9,70.23,63.22,73.63,71.5,73.1,73.99,72.48,72.54,8.1,Medium
49.38,48.36,46.12,47.17,43.47,45.21,45.67,47.85,62.78,5.1,Low
87.71,94.68,87.21,83.31,92.57,92.07,92.05,88.78,86.45,14.4,High
62.49,59.87,60.55,67.27,61.38,64.27,64.12,63.15,77.09,4.3,Medium
62.53,58.51,67.31,62.31,57.02,68.51,59.44,65.28,69.69,7.7,Medium
67.19,62.34,63.8,70.18,61.32,64.09,63.0,67.73,83.86,4.6,Medium
72.37,73.49,78.94,70.89,79.12,80.58,82.64,75.85,68.02,5.9,Medium
84.66,91.47,82.54,90.18,89.93,82.49,92.81,82.61,93.69,6.0,High
93.24,87.52,90.64,93.94,96.02,86.74,86.91,94.73,89.04,12.2,High
79.55,77.24,82.87,83.43,83.52,85.58,84.51,86.4,73.35,3.8,Medium
86.87,83.97,94.09,94.78,89.26,84.67,89.31,90.45,90.15,12.5,High
69.0,65.49,63.06,66.87,67.82,70.13,67.92,58.87,68.35,1.7,Low
80.8,82.26,80.73,79.7,83.14,75.71,81.16,82.11,82.97,12.9,High
89.64,87.89,90.82,93.22,91.38,84.0,91.59,91.96,85.25,13.1,High
82.86,79.26,84.45,84.44,76.99,84.05,83.97,77.52,88.95,9.5,High
73.97,81.82,75.67,83.08,81.7,72.8,82.13,75.71,80.25,4.0,Medium
72.43,74.11,74.91,72.52,71.17,69.34,75.0,76.78,69.31,5.7,Medium
62.59,61.52,58.73,68.1,67.21,63.56,67.89,65.81,82.67,4.5,Medium
82.43,85.97,87.52,92.32,83.64,91.14,93.27,92.94,93.52,7.7,High
68.57,62.02,64.34,68.69,65.58,69.4,67.5,69.03,82.36,5.0,Medium
41.83,38.96,43.81,41.68,43.04,48.96,49.41,50.3,67.51,4.8,Low
80.19,76.69,79.73,74.55,85.79,82.37,74.95,84.88,80.36,3.6,Medium
71.74,71.86,72.32,80.56,71.62,77.53,75.94,82.29,74.33,8.8,Medium
88.49,83.49,82.93,80.57,82.1,89.03,86.69,81.54,94.81,12.0,High
67.03,68.24,67.72,65.98,66.43,72.77,74.45,72.9,77.11,8.8,Medium
46.46,48.36,50.32,45.32,54.08,42.57,47.05,47.62,47.28,2.2,Low
82.46,92.28,94.11,83.89,92.2,86.78,89.88,90.05,94.86,6.4,High
99.46,93.95,90.17,99.49,98.58,92.61,89.14,94.16,82.35,5.6,High
81.45,75.33,75.83,75.5,76.61,83.86,73.67,80.69,74.71,3.2,Medium
84.77,83.06,83.81,92.03,87.73,88.98,91.04,90.95,90.81,5.6,High
53.93,49.01,47.64,45.14,46.8,45.61,53.73,52.32,58.61,3.4,Low
58.92,48.44,55.12,50.43,57.03,58.24,47.91,59.19,64.17,6.0,Low
64.08,56.05,61.05,63.61,62.31,64.9,54.27,62.34,53.87,5.2,Medium
78.4,73.73,71.53,73.71,68.91,70.62,70.45,74.14,71.2,8.9,Medium
50.06,49.17,42.92,39.3,46.08,50.04,48.33,49.19,48.26,4.6,Low
44.55,46.96,44.98,45.23,54.72,52.84,54.87,51.13,68.55,3.0,Low
54.02,58.41,53.44,55.02,59.6,52.87,60.08,62.72,68.22,4.9,Medium
84.11,87.93,88.49,79.53,83.67,88.12,78.57,85.82,84.41,3.2,Medium
46.7,45.87,48.84,43.56,41.38,41.19,39.01,41.28,67.13,1.4,Low
91.56,86.86,85.49,87.5,82.16,86.7,91.32,88.76,93.72,14.7,High
79.15,86.75,76.22,77.37,79.83,84.11,81.89,86.1,95.53,7.9,High
80.2,70.87,79.56,70.77,70.1,71.35,71.17,77.25,76.21,3.2,Medium
62.17,68.43,71.65,63.41,65.9,66.7,65.11,69.51,72.79,4.4,Medium
75.45,84.59,78.16,79.23,80.33,82.4,75.56,80.99,84.73,7.9,Medium
48.82,45.95,46.46,43.97,52.26,51.24,44.26,47.36,56.14,2.3,Low
58.56,53.77,55.17,59.15,54.44,59.32,54.46,49.69,58.84,5.2,Low
74.67,73.99,67.99,75.63,68.62,78.36,78.21,76.25,83.31,7.8,Medium
84.28,86.76,79.85,87.68,87.72,77.56,81.41,81.52,75.4,9.0,High
89.72,88.52,87.28,87.22,84.03,89.3,91.35,93.52,95.98,12.9,High
62.25,63.05,62.72,63.95,65.43,58.57,61.43,59.85,72.86,6.2,Medium
59.67,65.76,67.86,67.58,57.06,66.62,60.45,60.18,83.12,5.0,Medium
69.75,63.38,67.97,61.3,63.06,65.81,60.32,60.6,82.77,3.8,Medium
78.13,73.86,75.68,78.03,73.58,82.16,82.5,72.3,82.74,7.9,Medium
65.94,63.38,58.21,64.81,60.99,62.55,56.41,55.29,51.24,3.3,Low
63.93,61.69,70.46,68.72,68.0,63.15,64.37,61.68,82.8,6.5,Medium
58.66,60.34,55.67,64.79,64.64,55.53,66.37,63.2,61.18,4.4,Low
90.15,86.26,83.63,83.06,82.73,81.57,84.14,86.67,94.88,8.1,High
68.27,62.64,65.92,65.46,61.73,59.45,58.91,70.01,76.7,7.0,Medium
44.11,42.33,49.71,51.32,50.19,50.16,47.73,48.46,62.78,5.5,Low
74.79,74.42,70.19,78.26,76.63,72.04,78.48,72.43,84.96,4.6,Medium
66.81,66.75,67.18,58.84,57.83,58.2,59.77,66.36,61.8,3.5,Medium
90.5,95.17,89.92,95.69,90.21,89.36,89.76,96.45,87.37,5.9,High
59.26,54.6,59.0,53.17,52.17,49.24,58.84,50.24,68.61,1.4,Low
71.75,76.55,77.3,73.81,75.53,70.08,75.57,68.01,83.41,5.7,Medium
47.38,39.27,45.59,45.82,43.06,49.8,42.81,38.67,64.11,3.4,Low
58.58,64.42,63.82,59.28,64.62,60.43,57.84,60.9,73.48,8.0,Medium
97.56,95.99,92.88,99.48,100.0,92.94,99.65,93.14,86.77,7.9,High
65.68,58.53,65.76,64.03,58.98,61.35,64.76,57.4,55.08,2.1,Low
91.57,91.47,83.86,91.9,88.63,88.19,90.19,89.32,82.78,14.9,High
77.19,72.48,76.5,70.88,79.2,70.5,77.86,70.65,73.12,7.0,Medium
83.85,80.0,86.02,81.12,78.05,83.53,80.07,88.77,85.2,7.6,High
94.12,87.88,87.17,92.23,94.77,87.3,89.16,88.86,96.51,13.4,High
82.83,85.84,91.98,86.11,91.22,83.5,91.46,82.91,83.6,6.7,High
67.04,70.12,60.7,69.36,61.78,64.39,71.13,62.84,74.08,5.6,Medium
55.35,62.35,54.7,65.31,55.91,58.99,61.09,63.62,61.22,5.0,Low
89.05,90.9,92.52,82.4,91.88,82.19,85.77,81.39,87.74,5.3,High
93.6,93.46,98.42,94.72,90.74,92.96,95.09,87.83,92.85,12.7,High
90.29,86.92,92.08,80.88,87.94,82.11,90.41,90.45,92.82,8.8,High
83.45,85.52,90.57,87.69,85.67,88.36,92.46,88.23,85.85,14.7,High
59.72,63.44,65.18,58.49,59.58,65.74,65.92,62.15,76.46,6.9,Medium
86.74,88.76,91.54,92.81,93.52,91.76,93.97,94.68,97.21,8.6,High
51.12,43.05,45.81,47.97,40.09,41.51,41.23,48.15,53.53,5.1,Low
89.71,90.48,94.37,93.6,86.29,89.97,96.11,95.04,85.0,14.3,High
46.88,51.25,51.63,45.85,56.49,55.33,51.06,51.36,61.46,5.8,Low
89.06,91.62,95.01,90.46,89.03,96.17,95.4,93.56,93.69,6.3,High
63.22,66.66,67.24,61.85,66.68,68.59,66.8,69.49,56.32,1.7,Low
93.3,97.01,93.04,96.73,91.28,93.57,89.1,86.62,86.65,8.5,High
76.96,78.08,71.41,78.15,77.68,74.26,68.29,69.73,79.34,5.5,Medium
90.51,97.58,95.79,91.05,96.55,87.89,97.27,88.73,84.57,7.9,High
77.01,83.57,83.75,77.61,82.14,85.28,78.81,85.64,80.62,6.4,High
91.38,93.31,94.38,93.9,94.88,92.39,91.71,93.0,82.21,7.5,High
74.43,80.49,74.54,74.38,78.47,76.83,77.44,78.98,84.39,4.8,Medium
63.21,63.2,65.23,61.97,72.54,68.74,69.3,67.24,73.62,7.3,Medium
74.67,73.28,78.53,77.46,78.91,73.57,75.12,75.02,73.4,4.3,Medium
72.55,70.47,72.36,60.69,68.61,65.94,71.44,67.95,80.8,6.2,Medium
62.4,55.69,57.55,54.46,62.0,60.93,55.56,60.7,53.02,5.6,Low
100.0,92.18,100.0,96.62,90.26,90.95,98.21,99.45,85.08,10.1,High
69.9,67.48,65.94,69.46,67.15,60.03,63.69,62.16,77.14,7.2,Medium
91.03,91.4,92.95,95.86,93.49,88.5,96.38,94.71,90.93,10.7,High
72.75,83.01,73.15,81.32,75.49,72.91,81.06,77.13,77.96,7.2,Medium
70.65,75.52,72.5,77.48,67.68,74.08,76.92,75.49,77.07,3.8,Medium
77.42,76.0,83.1,82.38,87.3,79.6,84.92,86.78,77.41,6.3,Medium
72.21,79.58,71.9,71.74,79.16,79.79,79.78,80.75,76.71,4.0,Medium
68.72,76.25,73.39,71.51,69.08,75.41,68.74,74.98,72.94,3.4,Medium
89.12,88.9,86.49,85.91,87.25,82.17,85.07,84.77,91.86,8.1,High
84.18,79.2,77.95,77.31,80.26,75.75,80.92,83.74,70.28,7.4,Medium
84.61,84.6,83.92,89.78,84.07,90.68,88.56,90.78,86.21,13.9,High
76.72,71.8,70.09,76.68,76.21,70.9,72.99,73.54,84.98,5.8,Medium
77.28,71.91,76.09,75.27,72.07,81.3,77.83,81.53,82.42,7.8,Medium
64.29,67.97,64.05,66.02,74.43,67.87,69.17,68.99,71.72,5.9,Medium
52.06,52.12,45.26,48.63,44.19,49.95,46.49,49.94,62.59,3.6,Low
68.14,74.32,69.75,69.69,71.15,69.92,65.57,65.89,83.42,6.1,Medium
69.05,61.86,63.21,70.18,69.08,66.22,66.19,62.97,71.18,5.2,Medium
36.49,42.12,35.03,41.43,35.23,37.66,36.72,46.06,46.08,3.9,Low
59.79,57.42,61.78,68.3,66.8,58.44,66.36,63.6,80.23,7.0,Medium
47.24,42.66,43.99,45.63,41.3,43.17,39.85,40.98,61.49,2.3,Low
70.53,72.19,65.28,74.22,70.86,66.23,70.6,66.38,70.54,3.6,Medium
62.69,60.87,56.95,62.78,59.18,66.05,65.9,61.0,64.37,4.2,Medium
73.6,77.72,74.78,82.3,75.39,82.51,76.9,74.26,79.84,3.6,Medium
56.3,56.7,52.24,52.8,50.31,56.27,51.49,58.71,47.95,1.0,Low
66.75,71.19,67.58,66.23,68.45,64.83,65.47,65.92,79.57,7.5,Medium
79.31,82.35,75.9,76.53,78.76,78.02,80.56,82.32,79.21,7.5,Medium
93.11,100.0,96.59,92.13,94.02,92.32,91.82,95.97,82.08,5.9,High
78.29,76.78,74.62,72.21,69.36,74.82,76.59,70.37,80.1,6.6,Medium
67.26,69.7,66.84,68.72,78.79,76.19,71.07,71.57,71.94,4.0,Medium
74.89,81.43,82.46,75.65,83.03,74.79,78.75,73.81,69.17,3.5,Medium
62.35,65.01,72.85,71.12,72.96,72.0,71.24,68.38,74.92,3.6,Medium
59.61,53.59,53.61,55.12,48.41,49.47,48.89,55.68,64.25,4.8,Low
67.03,60.95,70.81,63.81,61.94,68.91,70.68,61.74,73.37,8.7,Medium
74.79,71.62,74.34,69.41,65.82,72.25,73.9,65.91,83.2,4.6,Medium
